"status","family","pval","qval","gene_short_name","is.feature","score","dir"
"FASTK","OK","negbinomial.size",0.00181109596990612,0.00654270700520787,"FASTK",FALSE,-5.02940428398288,1
"ETS1","OK","negbinomial.size",0.00181475385534299,0.00655295890557876,"ETS1",TRUE,-5.02783859002963,1
"CD151","OK","negbinomial.size",0.00183610702838344,0.00662706922484738,"CD151",FALSE,5.01659262005051,-1
"RPGR","OK","negbinomial.size",0.00183852357106768,0.00663279542049742,"RPGR",TRUE,5.01572893159529,-1
"HECA","OK","negbinomial.size",0.00184040471694644,0.00663359228377041,"HECA",FALSE,-5.01560879892742,1
"CCDC71L","OK","negbinomial.size",0.00183974514041041,0.00663359228377041,"CCDC71L",FALSE,5.01560879892742,-1
"RRM2B","OK","negbinomial.size",0.00184327594134124,0.00664094591851119,"RRM2B",TRUE,-5.01450086803281,1
"CACUL1","OK","negbinomial.size",0.00184888918140625,0.00665816739459998,"CACUL1",FALSE,-5.01191099827092,1
"IDH3G","OK","negbinomial.size",0.00185212266313387,0.00666680729779402,"IDH3G",FALSE,5.01061419964964,-1
"SSBP3","OK","negbinomial.size",0.00185701344204718,0.00668140225817157,"SSBP3",FALSE,5.00842739457551,-1
"SCFD1","OK","negbinomial.size",0.00186620071724596,0.00671143561274187,"SCFD1",FALSE,-5.00394239965455,1
"STK4","OK","negbinomial.size",0.00187854450844844,0.00675278864912798,"STK4",FALSE,-4.99779972620958,1
"PRKCSH","OK","negbinomial.size",0.00188646338797302,0.00677820545561709,"PRKCSH",FALSE,4.99404289412669,-1
"IKZF1","OK","negbinomial.size",0.0018907173627554,0.00679043705428244,"IKZF1",FALSE,-4.99223997213656,1
"LEPROT","OK","negbinomial.size",0.0019057911412356,0.00684149910584621,"LEPROT",FALSE,-4.98474840383999,1
"FEM1B","OK","negbinomial.size",0.0019146491968565,0.00687021182401452,"FEM1B",FALSE,-4.98056034003333,1
"OSTM1","OK","negbinomial.size",0.00191811898176487,0.00687957306251486,"OSTM1",FALSE,-4.97919868382939,1
"IRF7","OK","negbinomial.size",0.00192306274606317,0.00689421014077648,"IRF7",FALSE,-4.97707332966121,1
"COQ2","OK","negbinomial.size",0.00194867466147825,0.00698289651115366,"COQ2",TRUE,-4.96429147534067,1
"TYROBP","OK","negbinomial.size",0.00195508270779775,0.00699983958285025,"TYROBP",FALSE,-4.96186804692509,1
"SIDT2","OK","negbinomial.size",0.00195515479275707,0.00699983958285025,"SIDT2",TRUE,-4.96186804692509,1
"NIPSNAP3A","OK","negbinomial.size",0.00195724572115858,0.00700418744190696,"NIPSNAP3A",FALSE,-4.96124710279399,1
"ECHDC2","OK","negbinomial.size",0.00196134011940376,0.00701569780400872,"ECHDC2",TRUE,-4.95960509724458,1
"DNASE2","OK","negbinomial.size",0.00196827735068115,0.00703736210706624,"DNASE2",TRUE,-4.95652187973085,1
"HSP90AB1","OK","negbinomial.size",0.00197774389180711,0.00706733070876841,"HSP90AB1",FALSE,-4.95227242216507,1
"PRPF19","OK","negbinomial.size",0.00197842808103052,0.00706733070876841,"PRPF19",FALSE,4.95227242216507,-1
"COMMD3","OK","negbinomial.size",0.0019935247511003,0.0071180769821459,"COMMD3",FALSE,-4.94511767681552,1
"NDUFA11","OK","negbinomial.size",0.00200490889177907,0.00715552789379481,"NDUFA11",FALSE,-4.93987008898954,1
"EIF1AY","OK","negbinomial.size",0.00200755312680031,0.0071617665340452,"EIF1AY",TRUE,4.9389986058086,-1
"DYSF","OK","negbinomial.size",0.00202477107696093,0.0072199668344466,"DYSF",TRUE,-4.93090491965491,1
"PDK1","OK","negbinomial.size",0.00207477563237153,0.00739497416515651,"PDK1",FALSE,-4.90695467638105,1
"EMC7","OK","negbinomial.size",0.00208582094656749,0.00742771621391303,"EMC7",FALSE,-4.90253684113359,1
"MALT1","OK","negbinomial.size",0.0020856430696318,0.00742771621391303,"MALT1",FALSE,-4.90253684113359,1
"ICMT","OK","negbinomial.size",0.00208729401504002,0.00742965099072821,"ICMT",FALSE,4.90227639433982,-1
"ZCCHC7","OK","negbinomial.size",0.0021111949693741,0.00751137978640624,"ZCCHC7",FALSE,4.89133610352965,-1
"SRRM2","OK","negbinomial.size",0.00212134885063334,0.0075441471586164,"SRRM2",FALSE,4.88698322713174,-1
"TM4SF4","OK","negbinomial.size",0.00215903347264925,0.00766986143648167,"TM4SF4",FALSE,4.87045672941392,-1
"GIMAP7","OK","negbinomial.size",0.00215957805432158,0.00766986143648167,"GIMAP7",TRUE,-4.87045672941392,1
"RNF126","OK","negbinomial.size",0.00215913611290853,0.00766986143648167,"RNF126",FALSE,4.87045672941392,-1
"TRAM1","OK","negbinomial.size",0.00216311188897217,0.00767899915805269,"TRAM1",FALSE,-4.86926605827657,1
"CPSF1","OK","negbinomial.size",0.00216529992084525,0.00768335331593001,"CPSF1",FALSE,-4.86869919743917,1
"SDC2","OK","negbinomial.size",0.00217293756065866,0.00770703242220301,"SDC2",TRUE,-4.86562206534382,1
"AP2M1","OK","negbinomial.size",0.00218094064678869,0.00772612336905139,"AP2M1",FALSE,4.86314804682886,-1
"MT1H","OK","negbinomial.size",0.00218004499974775,0.00772612336905139,"MT1H",TRUE,-4.86314804682886,1
"ZBTB18","OK","negbinomial.size",0.00218122066331873,0.00772612336905139,"ZBTB18",FALSE,-4.86314804682886,1
"APOLD1","OK","negbinomial.size",0.00218491389549717,0.00773577622459808,"APOLD1",FALSE,4.86189944774925,-1
"CRAT","OK","negbinomial.size",0.00218662886364355,0.00773841950813802,"CRAT",FALSE,-4.86155781014672,1
"ADH6","OK","negbinomial.size",0.00219456718481851,0.00776307497737259,"ADH6",FALSE,-4.85837676330656,1
"MLYCD","OK","negbinomial.size",0.0022356432063625,0.00790487825754105,"MLYCD",FALSE,0,0
"SLC7A2","OK","negbinomial.size",0.00225519420623136,0.00797048071737939,"SLC7A2",FALSE,-4.83201047214205,1
"KMT2B","OK","negbinomial.size",0.00225658451222833,0.00797186862830089,"KMT2B",FALSE,0,0
"UPF2","OK","negbinomial.size",0.00228020561683223,0.00805175567127988,"UPF2",FALSE,4.82186511551993,-1
"PACSIN2","OK","negbinomial.size",0.00229916229520545,0.00811510861351007,"PACSIN2",FALSE,-4.81402769381556,1
"ITGB3BP","OK","negbinomial.size",0.00230395673221825,0.0081284407272212,"ITGB3BP",FALSE,-4.81238616628666,1
"VEGFA","OK","negbinomial.size",0.00231359395665615,0.00815883905897585,"VEGFA",FALSE,4.8086533923121,-1
"LY6E","OK","negbinomial.size",0.00231797172098724,0.00816706879294932,"LY6E",TRUE,-4.80764521135883,1
"SPNS1","OK","negbinomial.size",0.00231717196025002,0.00816706879294932,"SPNS1",FALSE,-4.80764521135883,1
"HSBP1","OK","negbinomial.size",0.00234314273486052,0.00825211705344664,"HSBP1",FALSE,-4.79728549901593,1
"DHODH","OK","negbinomial.size",0.00235380932689053,0.00828603098289966,"DHODH",FALSE,4.79318419614738,-1
"MAPK8IP3","OK","negbinomial.size",0.00235771203112295,0.008296114857201,"MAPK8IP3",FALSE,4.79196796326153,-1
"AKAP12","OK","negbinomial.size",0.0023686650991928,0.00833098715125424,"AKAP12",TRUE,-4.78777332427188,1
"SPTSSA","OK","negbinomial.size",0.00237052812721777,0.00833387165182455,"SPTSSA",FALSE,-4.78742714664947,1
"VAPA","OK","negbinomial.size",0.00237980583073896,0.00836280931989227,"VAPA",FALSE,4.78396086528603,-1
"PPP1R8","OK","negbinomial.size",0.00239087400065115,0.00839801061063884,"PPP1R8",FALSE,-4.77976043324882,1
"HNRNPH3","OK","negbinomial.size",0.00241952902796195,0.00849492814694374,"HNRNPH3",FALSE,-4.76828598217021,1
"WDR83OS","OK","negbinomial.size",0.00244697990392287,0.00858753465623526,"WDR83OS",FALSE,4.75744358578123,-1
"CCT8","OK","negbinomial.size",0.00246122475292789,0.00863373441643844,"CCT8",FALSE,-4.75207814252135,1
"HNRNPAB","OK","negbinomial.size",0.00248660074839057,0.00871892346660334,"HNRNPAB",FALSE,-4.74225950434728,1
"NDUFB3","OK","negbinomial.size",0.00249410874565596,0.00873738657656551,"NDUFB3",FALSE,-4.7401441527293,1
"CCDC59","OK","negbinomial.size",0.00249479793845426,0.00873738657656551,"CCDC59",FALSE,-4.7401441527293,1
"RPRD1A","OK","negbinomial.size",0.00249514656084626,0.00873738657656551,"RPRD1A",FALSE,4.7401441527293,-1
"SON","OK","negbinomial.size",0.00249971446957218,0.00874954810615474,"SON",FALSE,-4.73875322495715,1
"FBXO8","OK","negbinomial.size",0.00252458971873395,0.00882888246932296,"FBXO8",FALSE,-4.72972683304132,1
"PATZ1","OK","negbinomial.size",0.00252350818305538,0.00882888246932296,"PATZ1",FALSE,4.72972683304132,-1
"FAM136A","OK","negbinomial.size",0.00252808316323824,0.00883723208986734,"FAM136A",FALSE,-4.72878156336834,1
"RAB29","OK","negbinomial.size",0.00253276670081938,0.00884973270933437,"RAB29",FALSE,-4.7273680227535,1
"KRAS","OK","negbinomial.size",0.00255293887744389,0.00891631755666703,"KRAS",FALSE,4.71987224759804,-1
"DHX9","OK","negbinomial.size",0.00255767843931385,0.00892896828683135,"DHX9",FALSE,4.71845442415777,-1
"TARBP1","OK","negbinomial.size",0.00256378355292546,0.00894637308795954,"TARBP1",FALSE,-4.71650707039669,1
"OPTN","OK","negbinomial.size",0.00256515543031218,0.00894725318359869,"OPTN",FALSE,-4.7164087006614,1
"TFAM","OK","negbinomial.size",0.00257181483185377,0.00896656733042909,"TFAM",FALSE,-4.71425235949463,1
"PGLYRP2","OK","negbinomial.size",0.00257532721532849,0.00897489741722196,"PGLYRP2",FALSE,-4.71332377450911,1
"STOML2","OK","negbinomial.size",0.00257763263163824,0.00897874654573115,"STOML2",FALSE,4.71289498929134,-1
"RFX1","OK","negbinomial.size",0.00257867892910186,0.00897874654573115,"RFX1",FALSE,-4.71289498929134,1
"CREBBP","OK","negbinomial.size",0.00260584460054934,0.00906568560531177,"CREBBP",FALSE,-4.70325880549941,1
"PIGK","OK","negbinomial.size",0.00260591663564024,0.00906568560531177,"PIGK",FALSE,-4.70325880549941,1
"BCLAF1","OK","negbinomial.size",0.00261106327227664,0.00907963734062777,"BCLAF1",FALSE,4.70172102762607,-1
"SPINT2","OK","negbinomial.size",0.00261257492991674,0.00908094226401249,"SPINT2",TRUE,-4.70157731818338,1
"EPSTI1","OK","negbinomial.size",0.00261646919044786,0.00909052404385603,"EPSTI1",TRUE,-4.70052272186526,1
"GTF2IRD2","OK","negbinomial.size",0.00262932395518996,0.00913121587393435,"GTF2IRD2",FALSE,-4.69605641975528,1
"PCSK7","OK","negbinomial.size",0.00264172506351866,0.0091702975597644,"PCSK7",FALSE,4.69178554397476,-1
"ZNF511","OK","negbinomial.size",0.00264876126034429,0.00919073001798141,"ZNF511",FALSE,4.68955990964522,-1
"COPZ1","OK","negbinomial.size",0.00265098688408861,0.00919446015223614,"COPZ1",FALSE,-4.68915413366234,1
"SETX","OK","negbinomial.size",0.002663123466645,0.00923254647373543,"SETX",FALSE,-4.68502037753937,1
"SMLR1","OK","negbinomial.size",0.00267481857096871,0.00926906990486163,"SMLR1",FALSE,-4.68107223832579,1
"TMEM107","OK","negbinomial.size",0.00268006163243724,0.00928321304933074,"TMEM107",TRUE,-4.67954755834502,1
"ZNF524","OK","negbinomial.size",0.0026894697402275,0.00931176459885525,"ZNF524",FALSE,4.67647666764514,-1
"PRR13","OK","negbinomial.size",0.00271715871065609,0.00940355792847674,"PRR13",FALSE,-4.66666715829094,1
"NTN4","OK","negbinomial.size",0.00281083172180018,0.00972353086099794,"NTN4",FALSE,-4.63320646916744,1
"CMPK1","OK","negbinomial.size",0.00281509630597277,0.0097340694855164,"CMPK1",FALSE,-4.63212322916237,1
"NDUFV3","OK","negbinomial.size",0.00281974986240431,0.00974594340418375,"NDUFV3",FALSE,-4.63090414165918,1
"CMTM6","OK","negbinomial.size",0.00283472275727714,0.00978922625471118,"CMTM6",FALSE,-4.62647285981118,1
"C12orf10","OK","negbinomial.size",0.00283454039403529,0.00978922625471118,"C12orf10",FALSE,-4.62647285981118,1
"AES","OK","negbinomial.size",0.00283933855086234,0.00980093060904577,"AES",FALSE,-4.62527793770732,1
"IRAK1","OK","negbinomial.size",0.002849201971573,0.0098307309822279,"IRAK1",FALSE,4.6222419852045,-1
"SLC30A1","OK","negbinomial.size",0.00287169408365944,0.00990406017372577,"SLC30A1",FALSE,4.61481048735906,-1
"ANXA4","OK","negbinomial.size",0.00287491979586994,0.00991090771734109,"ANXA4",FALSE,-4.61411933873591,1
"CIPC","OK","negbinomial.size",0.00288066318450105,0.00992642497082702,"CIPC",FALSE,-4.61255488882777,1
"ARFGEF1","OK","negbinomial.size",0.00288515432170673,0.00993761559687865,"ARFGEF1",FALSE,4.61142816667904,-1
"COPB1","OK","negbinomial.size",0.00289007916767619,0.00995028980133581,"COPB1",FALSE,-4.61015360247339,1
"AKIRIN2","OK","negbinomial.size",0.00289965136906352,0.0099789466366006,"AKIRIN2",FALSE,4.6072777416641,-1
"RWDD1","OK","negbinomial.size",0.00290606992129602,0.00999481152823127,"RWDD1",FALSE,-4.60568916781274,1
"TPD52L2","OK","negbinomial.size",0.00290676285716549,0.00999481152823127,"TPD52L2",FALSE,-4.60568916781274,1
"LMAN1","OK","negbinomial.size",0.00290803181655673,0.00999487408434616,"LMAN1",FALSE,-4.60568290897344,1
"LBP","OK","negbinomial.size",0.00292038397886461,0.0100330130589454,"LBP",FALSE,-4.60187431744024,1
"GLS2","OK","negbinomial.size",0.00292654375561006,0.0100498543837903,"GLS2",FALSE,-4.60019713375712,1
"TSC22D4","OK","negbinomial.size",0.00292803692897648,0.0100506628434068,"TSC22D4",FALSE,4.60011669208412,-1
"NOB1","OK","negbinomial.size",0.00293056387541788,0.0100550175734067,"NOB1",TRUE,4.59968350803088,-1
"TRA2B","OK","negbinomial.size",0.00293696089969709,0.010068320270047,"TRA2B",FALSE,4.59836139152303,-1
"SUPT5H","OK","negbinomial.size",0.00293659696715477,0.010068320270047,"SUPT5H",FALSE,-4.59836139152303,1
"PSMB9","OK","negbinomial.size",0.00294538934340215,0.0100928843238107,"PSMB9",TRUE,-4.59592462582243,1
"UBA7","OK","negbinomial.size",0.00297071733633661,0.0101753117165306,"UBA7",FALSE,0,0
"DHRS4","OK","negbinomial.size",0.00298023347723267,0.0102035328691372,"DHRS4",FALSE,4.58502125894126,-1
"TRIAP1","OK","negbinomial.size",0.00304953529782115,0.0104363325759695,"TRIAP1",FALSE,4.56246204406964,-1
"SEC13","OK","negbinomial.size",0.00305974669863312,0.0104667961767026,"SEC13",FALSE,4.55954730124228,-1
"MTAP","OK","negbinomial.size",0.00307088832400467,0.010500414461755,"MTAP",FALSE,0,0
"SMAP1","OK","negbinomial.size",0.0030756467574532,0.0105121870140327,"SMAP1",FALSE,-4.5552200268699,1
"SERPINF1","OK","negbinomial.size",0.00307967285367167,0.0105214475304362,"SERPINF1",TRUE,-4.55433948318809,1
"FAM103A1","OK","negbinomial.size",0.0030870801570548,0.0105364184879513,"FAM103A1",FALSE,-4.55291759551682,1
"COPRS","OK","negbinomial.size",0.00308564555995643,0.0105364184879513,"COPRS",FALSE,-4.55291759551682,1
"NARF","OK","negbinomial.size",0.00308801052418745,0.0105364184879513,"NARF",FALSE,-4.55291759551682,1
"SEC62","OK","negbinomial.size",0.00309868943593272,0.010568342843593,"SEC62",FALSE,-4.54989227061602,1
"TEF","OK","negbinomial.size",0.00310632096257714,0.0105898510289906,"TEF",FALSE,-4.54785918660746,1
"CUEDC2","OK","negbinomial.size",0.00311846499674417,0.0106221883158494,"CUEDC2",FALSE,4.54481022828864,-1
"TM4SF5","OK","negbinomial.size",0.00311738289712046,0.0106221883158494,"TM4SF5",FALSE,-4.54481022828864,1
"CAPZB","OK","negbinomial.size",0.00315448619098719,0.0107403064133697,"CAPZB",FALSE,-4.53375166019948,1
"TAX1BP3","OK","negbinomial.size",0.00315844155188378,0.0107491935439111,"TAX1BP3",FALSE,-4.5329245463936,1
"MRPL2","OK","negbinomial.size",0.00316281750349046,0.0107595039039558,"MRPL2",FALSE,-4.53196583089171,1
"ACOT13","OK","negbinomial.size",0.00319327092129577,0.0108584799710955,"ACOT13",FALSE,-4.52280894010162,1
"KLB","OK","negbinomial.size",0.00320428713639588,0.0108913051922329,"KLB",FALSE,0,0
"CCS","OK","negbinomial.size",0.00321938126806757,0.0109368763443903,"CCS",FALSE,4.51561504886556,-1
"TGIF1","OK","negbinomial.size",0.00322043174050186,0.0109368763443903,"TGIF1",FALSE,-4.51561504886556,1
"STT3A","OK","negbinomial.size",0.00322797013413316,0.0109578204510867,"STT3A",FALSE,-4.51370188119027,1
"FAM3C","OK","negbinomial.size",0.00323836256971616,0.0109843281689141,"FAM3C",FALSE,4.51128573396768,-1
"MIF4GD","OK","negbinomial.size",0.00323852798973365,0.0109843281689141,"MIF4GD",FALSE,-4.51128573396768,1
"TUBA1C","OK","negbinomial.size",0.00324484939304239,0.0110010994907941,"TUBA1C",TRUE,4.50976005747025,-1
"C8B","OK","negbinomial.size",0.00325222450948113,0.0110214275043527,"C8B",FALSE,-4.50791394604657,1
"HMGXB4","OK","negbinomial.size",0.00325609518191176,0.0110298671465269,"HMGXB4",FALSE,-4.50714849052844,1
"CHKA","OK","negbinomial.size",0.00326501362350126,0.0110553914683892,"CHKA",FALSE,-4.5048370543192,1
"TTC37","OK","negbinomial.size",0.00329969718782193,0.0111680983599683,"TTC37",FALSE,4.49469392569716,-1
"ATP2B1","OK","negbinomial.size",0.0033142754990545,0.0112126907336768,"ATP2B1",TRUE,-4.49070904093461,1
"RNF138","OK","negbinomial.size",0.00333799979720361,0.0112881745152154,"RNF138",FALSE,-4.4839996043088,1
"LIMCH1","OK","negbinomial.size",0.0033466316738291,0.0113125777096313,"LIMCH1",TRUE,0,0
"MTTP","OK","negbinomial.size",0.00335240665042536,0.0113273072065747,"MTTP",FALSE,-4.48053890151268,1
"LINC00467","OK","negbinomial.size",0.00337909283277946,0.0114126503916909,"LINC00467",FALSE,-4.47303285534363,1
"HSPH1","OK","negbinomial.size",0.00338079922680726,0.0114135896161457,"HSPH1",TRUE,-4.47295056194315,1
"MRPS5","OK","negbinomial.size",0.00339473932072561,0.0114558116182088,"MRPS5",FALSE,4.46925811284032,-1
"CHMP1A","OK","negbinomial.size",0.00340607595855914,0.0114892161185505,"CHMP1A",FALSE,-4.46634641237736,1
"TBCD","OK","negbinomial.size",0.00342216315053374,0.0115386100151541,"TBCD",FALSE,4.46205647445019,-1
"CHCHD2","OK","negbinomial.size",0.00342600451423533,0.0115466900351137,"CHCHD2",FALSE,-4.46135646013182,1
"GUK1","OK","negbinomial.size",0.00343323518029421,0.0115661814189422,"GUK1",FALSE,-4.45966983383029,1
"CHD9","OK","negbinomial.size",0.0034953148418602,0.0117703585761925,"CHD9",FALSE,-4.44217089290701,1
"MRPL36","OK","negbinomial.size",0.00350186698571381,0.0117874553845152,"MRPL36",FALSE,-4.44071941601253,1
"EBPL","OK","negbinomial.size",0.0035049917091945,0.0117930057887045,"EBPL",FALSE,-4.44024865301506,1
"SPI1","OK","negbinomial.size",0.0035106199378526,0.011806971348224,"SPI1",FALSE,4.43906512973717,-1
"MITD1","OK","negbinomial.size",0.00353530016978446,0.0118849741929944,"MITD1",FALSE,-4.43248034956532,1
"ASNA1","OK","negbinomial.size",0.0035538950655788,0.0119424623503113,"ASNA1",FALSE,4.4276549652853,-1
"ACYP2","OK","negbinomial.size",0.00357407583947304,0.0120050122153925,"ACYP2",FALSE,-4.42243103178403,1
"CAMK1D","OK","negbinomial.size",0.00357551358686449,0.0120050122153925,"CAMK1D",FALSE,-4.42243103178403,1
"HDAC7","OK","negbinomial.size",0.00358054346095348,0.0120168512374965,"HDAC7",FALSE,-4.42144534446749,1
"SLC13A5","OK","negbinomial.size",0.00358678142160687,0.0120327331402437,"SLC13A5",FALSE,-4.42012458109741,1
"CANX","OK","negbinomial.size",0.00363562236736195,0.0121870336218661,"CANX",FALSE,-4.40738271031418,1
"GNG11","OK","negbinomial.size",0.00363582632393051,0.0121870336218661,"GNG11",TRUE,-4.40738271031418,1
"TAZ","OK","negbinomial.size",0.00363743051874615,0.0121872986479247,"TAZ",FALSE,-4.40736096399057,1
"ACLY","OK","negbinomial.size",0.00367644499677765,0.012312854974539,"ACLY",FALSE,-4.3971114424801,1
"H6PD","OK","negbinomial.size",0.00368421764376408,0.0123337172984159,"H6PD",FALSE,-4.39541852318663,1
"KLHL8","OK","negbinomial.size",0.003690204572491,0.0123473567593491,"KLHL8",FALSE,-4.39431326639839,1
"FAM214A","OK","negbinomial.size",0.00369138221725503,0.0123473567593491,"FAM214A",FALSE,-4.39431326639839,1
"EBP","OK","negbinomial.size",0.00369482275449704,0.0123485272401447,"EBP",FALSE,-4.39421847482936,1
"CHD7","OK","negbinomial.size",0.00369358405372608,0.0123485272401447,"CHD7",FALSE,-4.39421847482936,1
"GCC2","OK","negbinomial.size",0.00370102177221149,0.0123640739890226,"GCC2",FALSE,-4.39296027049994,1
"LINC00844","OK","negbinomial.size",0.00370550093584575,0.0123738645960482,"LINC00844",TRUE,-4.39216872455094,1
"NDUFS2","OK","negbinomial.size",0.00371250079753881,0.0123917190421442,"NDUFS2",FALSE,4.39072684864362,-1
"MRPL15","OK","negbinomial.size",0.003713949080958,0.0123917190421442,"MRPL15",FALSE,-4.39072684864362,1
"POLR2J3","OK","negbinomial.size",0.00372379552376496,0.0124193864901527,"POLR2J3",FALSE,4.388496600625,-1
"AAMP","OK","negbinomial.size",0.00372573778445751,0.0124206802818523,"AAMP",FALSE,4.3883924308808,-1
"PCF11","OK","negbinomial.size",0.00372896362218425,0.012426250335644,"PCF11",FALSE,4.38794408142703,-1
"EIF5","OK","negbinomial.size",0.00375284431685545,0.0125006164801967,"EIF5",FALSE,-4.38197731747426,1
"DPYD","OK","negbinomial.size",0.00376175627174023,0.0125250809864484,"DPYD",FALSE,-4.38002216604821,1
"FAM207A","OK","negbinomial.size",0.00377253263949482,0.0125557302466485,"FAM207A",FALSE,-4.37757812425292,1
"CD47","OK","negbinomial.size",0.00379128247159511,0.0126128801958853,"CD47",FALSE,-4.37303674938526,1
"ANXA11","OK","negbinomial.size",0.00379879840300874,0.0126326250680162,"ANXA11",FALSE,4.37147252035119,-1
"PVR","OK","negbinomial.size",0.00380391409842198,0.0126443750251623,"PVR",FALSE,-4.3705428247426,1
"SMAD3","OK","negbinomial.size",0.00380789032510472,0.0126523291425829,"SMAD3",FALSE,0,0
"ALG13","OK","negbinomial.size",0.00381038426422404,0.0126553535558663,"ALG13",FALSE,-4.36967494733767,1
"BAD","OK","negbinomial.size",0.00381342825053643,0.0126602015579712,"BAD",FALSE,4.36929194154204,-1
"BTBD7","OK","negbinomial.size",0.00382131634335361,0.0126811208055393,"BTBD7",FALSE,4.36764094227532,-1
"TTC3","OK","negbinomial.size",0.00384210738010803,0.0127448236091504,"TTC3",FALSE,-4.36263008125372,1
"CCNT1","OK","negbinomial.size",0.00385012116298049,0.0127661071424801,"CCNT1",FALSE,-4.36096149938386,1
"C2orf74","OK","negbinomial.size",0.00386609992012795,0.0128137720704033,"C2orf74",FALSE,-4.35723474346812,1
"FASN","OK","negbinomial.size",0.00387670631487134,0.0128435987405211,"FASN",FALSE,-4.35490974424871,1
"GCH1","OK","negbinomial.size",0.00388041103700731,0.0128505447976483,"GCH1",TRUE,-4.35436907183547,1
"THUMPD3-AS1","OK","negbinomial.size",0.00388520394931879,0.0128588750038983,"THUMPD3-AS1",FALSE,4.35372104425603,-1
"PHF14","OK","negbinomial.size",0.00388614480470709,0.0128588750038983,"PHF14",FALSE,4.35372104425603,-1
"UHMK1","OK","negbinomial.size",0.00389422838884463,0.0128802893440635,"UHMK1",FALSE,-4.35205709395705,1
"RNF220","OK","negbinomial.size",0.00390253956440411,0.012902438419178,"RNF220",FALSE,4.35033896073496,-1
"FAM120AOS","OK","negbinomial.size",0.00394075749422449,0.0130180211394576,"FAM120AOS",FALSE,-4.34142063996956,1
"CLN3","OK","negbinomial.size",0.00393990967524344,0.0130180211394576,"CLN3",FALSE,-4.34142063996956,1
"TFR2","OK","negbinomial.size",0.00394393862582128,0.0130231460987346,"TFR2",FALSE,-4.34102703554344,1
"JCHAIN","OK","negbinomial.size",0.0039498270660851,0.0130372028439017,"JCHAIN",TRUE,4.33994825132906,-1
"MORN2","OK","negbinomial.size",0.0039728047497249,0.0131076311953145,"MORN2",FALSE,-4.33456068438862,1
"PINK1","OK","negbinomial.size",0.0039786166813836,0.0131213891460736,"PINK1",FALSE,-4.33351162103499,1
"COMMD7","OK","negbinomial.size",0.00399864588593821,0.0131820046512097,"COMMD7",FALSE,4.32890266350615,-1
"MVK","OK","negbinomial.size",0.00402309656093026,0.0132571400488221,"MVK",FALSE,0,0
"CCDC66","OK","negbinomial.size",0.00403951800374284,0.013305766021397,"CCDC66",FALSE,-4.31955780226039,1
"ENTPD3-AS1","OK","negbinomial.size",0.0040542941528668,0.0133489347241692,"ENTPD3-AS1",FALSE,-4.31631869326213,1
"WARS","OK","negbinomial.size",0.00408149579544506,0.0134329624799841,"WARS",TRUE,4.31004370602776,-1
"PIM3","OK","negbinomial.size",0.00409122411497263,0.0134594367652311,"PIM3",TRUE,-4.3080748007205,1
"HDAC1","OK","negbinomial.size",0.00409718791319569,0.0134735097178382,"HDAC1",FALSE,4.30702976438207,-1
"C1orf132","OK","negbinomial.size",0.00413251229057776,0.013584082975733,"C1orf132",FALSE,-4.29885654108868,1
"WIPF1","OK","negbinomial.size",0.00414209372544255,0.013604385926844,"WIPF1",FALSE,4.29736304360946,-1
"ACO1","OK","negbinomial.size",0.00414065476683656,0.013604385926844,"ACO1",FALSE,-4.29736304360946,1
"DLEU1","OK","negbinomial.size",0.0041821748976713,0.0137303860342199,"DLEU1",FALSE,0,0
"GSTO1","OK","negbinomial.size",0.0041857823347978,0.0137365858880366,"GSTO1",FALSE,-4.28769250282858,1
"ACSL3","OK","negbinomial.size",0.00421395746731267,0.0138233719709752,"ACSL3",FALSE,4.28139449829276,-1
"PGP","OK","negbinomial.size",0.00422373182565546,0.0138497501103048,"PGP",FALSE,-4.27948808908883,1
"SWI5","OK","negbinomial.size",0.00422675162378686,0.0138539672787862,"SWI5",FALSE,-4.2791836412449,1
"ANKRD12","OK","negbinomial.size",0.00423945394767616,0.0138899042623535,"ANKRD12",FALSE,-4.27659301479878,1
"RALBP1","OK","negbinomial.size",0.00428859883655807,0.0140451611897277,"RALBP1",FALSE,-4.26547734182908,1
"TOMM7","OK","negbinomial.size",0.0042941347593451,0.0140575300540462,"TOMM7",FALSE,-4.26459707986343,1
"EWSR1","OK","negbinomial.size",0.00432165685658095,0.0141418345376488,"EWSR1",FALSE,-4.2586178859358,1
"PAFAH1B1","OK","negbinomial.size",0.00433456145549057,0.0141782564841691,"PAFAH1B1",FALSE,4.2560457214203,-1
"UBE2D4","OK","negbinomial.size",0.00433834640653041,0.014184830660632,"UBE2D4",FALSE,-4.25558214871066,1
"SHARPIN","OK","negbinomial.size",0.00434121210815212,0.0141883950741282,"SHARPIN",FALSE,4.2553308968052,-1
"FMO3","OK","negbinomial.size",0.00434889617357183,0.0142076980061376,"FMO3",FALSE,-4.25397134815687,1
"SRP19","OK","negbinomial.size",0.00435902270723541,0.0142349613622877,"SRP19",FALSE,-4.25205427253136,1
"PIPOX","OK","negbinomial.size",0.00436425778365419,0.0142462352733581,"PIPOX",FALSE,-4.25126259851545,1
"ECHDC1","OK","negbinomial.size",0.00440129235182441,0.0143612605893952,"ECHDC1",FALSE,4.24322093443809,-1
"SEC22B","OK","negbinomial.size",0.00446656584482899,0.0145679490553883,"SEC22B",FALSE,-4.22893143358461,1
